"","x"
"3092","c(-0.449259292559633, 0.997971133603563)"
"3093","c(-0.449259292559633, 0.997971133603563)"
"3094","c(-0.449259292559633, 0.997971133603563)"
"3095","c(-0.449259292559633, 0.997971133603563)"
"3096","c(-0.449259292559633, 0.997971133603563)"
"3097","c(-0.449259292559633, 0.997971133603563)"
"3098","c(-0.449259292559633, 0.997971133603563)"
"3099","c(-0.449259292559633, 0.997971133603563)"
"3100","c(-0.449259292559633, 0.997971133603563)"
"3101","c(-0.449259292559633, 0.997971133603563)"
"3102","c(-0.449259292559633, 0.997971133603563)"
"3103","c(-0.449259292559633, 0.997971133603563)"
"3104","c(-0.449259292559633, 0.997971133603563)"
"3105","c(-0.449259292559633, 0.997971133603563)"
"3106","c(-0.449259292559633, 0.997971133603563)"
"3107","c(-0.449259292559633, 0.997971133603563)"
"3108","c(-0.449259292559633, 0.997971133603563)"
"3109","c(-0.449259292559633, 0.997971133603563)"
"3110","c(-0.449259292559633, 0.997971133603563)"
"3111","c(-0.449259292559633, 0.997971133603563)"
"3112","c(-0.449259292559633, 0.997971133603563)"
"3113","c(-0.449259292559633, 0.997971133603563)"
"3114","c(-0.449259292559633, 0.997971133603563)"
"3115","c(-0.449259292559633, 0.997971133603563)"
"3116","c(-0.449259292559633, 0.997971133603563)"
"3117","c(-0.449259292559633, 0.997971133603563)"
"3118","c(-0.449259292559633, 0.997971133603563)"
"3119","c(-0.449259292559633, 0.997971133603563)"
"3120","c(-0.449259292559633, 0.997971133603563)"
"3121","c(-0.449259292559633, 0.997971133603563)"
"3122","c(-0.449259292559633, 0.997971133603563)"
"3123","c(-0.449259292559633, 0.997971133603563)"
"3124","c(-0.449259292559633, 0.997971133603563)"
"3125","c(-0.449259292559633, 0.997971133603563)"
"3126","c(-0.449259292559633, 0.997971133603563)"
"3127","c(-0.449259292559633, 0.997971133603563)"
"3128","c(-0.152457130214204, 0.999291367126697)"
"3129","c(-0.152457130214204, 0.999291367126697)"
"3130","c(-0.152457130214204, 0.999291367126697)"
"3131","c(-0.152457130214204, 0.999291367126697)"
"3132","c(-0.152457130214204, 0.999291367126697)"
"3133","c(-0.152457130214204, 0.999291367126697)"
"3134","c(-0.152457130214204, 0.999291367126697)"
"3135","c(-0.152457130214204, 0.999291367126697)"
"3136","c(-0.152457130214204, 0.999291367126697)"
"3137","c(-0.152457130214204, 0.999291367126697)"
"3138","c(-0.152457130214204, 0.999291367126697)"
"3139","c(-0.152457130214204, 0.999291367126697)"
"3140","c(-0.152457130214204, 0.999291367126697)"
"3141","c(-0.152457130214204, 0.999291367126697)"
"3142","c(-0.152457130214204, 0.999291367126697)"
"3143","c(-0.152457130214204, 0.999291367126697)"
"3144","c(-0.152457130214204, 0.999291367126697)"
"3145","c(-0.152457130214204, 0.999291367126697)"
"3146","c(-0.152457130214204, 0.999291367126697)"
"3147","c(-0.152457130214204, 0.999291367126697)"
"3148","c(-0.152457130214204, 0.999291367126697)"
"3149","c(-0.152457130214204, 0.999291367126697)"
"3150","c(-0.152457130214204, 0.999291367126697)"
"3151","c(-0.152457130214204, 0.999291367126697)"
"3152","c(-0.152457130214204, 0.999291367126697)"
"3153","c(-0.152457130214204, 0.999291367126697)"
"3154","c(-0.152457130214204, 0.999291367126697)"
"3155","c(-0.152457130214204, 0.999291367126697)"
"3156","c(-0.152457130214204, 0.999291367126697)"
"3157","c(-0.152457130214204, 0.999291367126697)"
"3158","c(-0.152457130214204, 0.999291367126697)"
"3159","c(-0.152457130214204, 0.999291367126697)"
"3160","c(-0.152457130214204, 0.999291367126697)"
"3161","c(-0.152457130214204, 0.999291367126697)"
"3162","c(-0.152457130214204, 0.999291367126697)"
"3163","c(-0.152457130214204, 0.999291367126697)"
"3164","c(-0.70202632424042, 0.999406800415398)"
"3165","c(-0.70202632424042, 0.999406800415398)"
"3166","c(-0.70202632424042, 0.999406800415398)"
"3167","c(-0.70202632424042, 0.999406800415398)"
"3168","c(-0.70202632424042, 0.999406800415398)"
"3169","c(-0.70202632424042, 0.999406800415398)"
"3170","c(-0.70202632424042, 0.999406800415398)"
"3171","c(-0.70202632424042, 0.999406800415398)"
"3172","c(-0.70202632424042, 0.999406800415398)"
"3173","c(-0.70202632424042, 0.999406800415398)"
"3174","c(-0.70202632424042, 0.999406800415398)"
"3175","c(-0.70202632424042, 0.999406800415398)"
"3176","c(-0.70202632424042, 0.999406800415398)"
"3177","c(-0.70202632424042, 0.999406800415398)"
"3178","c(-0.70202632424042, 0.999406800415398)"
"3179","c(-0.70202632424042, 0.999406800415398)"
"3180","c(-0.70202632424042, 0.999406800415398)"
"3181","c(-0.70202632424042, 0.999406800415398)"
"3182","c(-0.70202632424042, 0.999406800415398)"
"3183","c(-0.70202632424042, 0.999406800415398)"
"3184","c(-0.70202632424042, 0.999406800415398)"
"3185","c(-0.70202632424042, 0.999406800415398)"
"3186","c(-0.70202632424042, 0.999406800415398)"
"3187","c(-0.70202632424042, 0.999406800415398)"
"3188","c(-0.70202632424042, 0.999406800415398)"
"3189","c(-0.70202632424042, 0.999406800415398)"
"3190","c(-0.70202632424042, 0.999406800415398)"
"3191","c(-0.70202632424042, 0.999406800415398)"
"3192","c(-0.70202632424042, 0.999406800415398)"
"3193","c(-0.70202632424042, 0.999406800415398)"
"3194","c(-0.70202632424042, 0.999406800415398)"
"3195","c(-0.70202632424042, 0.999406800415398)"
"3196","c(-0.70202632424042, 0.999406800415398)"
"3197","c(-0.70202632424042, 0.999406800415398)"
"3198","c(-0.70202632424042, 0.999406800415398)"
"3199","c(-0.70202632424042, 0.999406800415398)"
"3200","c(-0.449259292559633, 0.997971133603563)"
"3201","c(-0.449259292559633, 0.997971133603563)"
"3202","c(-0.449259292559633, 0.997971133603563)"
"3203","c(-0.449259292559633, 0.997971133603563)"
"3204","c(-0.449259292559633, 0.997971133603563)"
"3205","c(-0.449259292559633, 0.997971133603563)"
"3206","c(-0.449259292559633, 0.997971133603563)"
"3207","c(-0.449259292559633, 0.997971133603563)"
"3208","c(-0.449259292559633, 0.997971133603563)"
"3209","c(-0.449259292559633, 0.997971133603563)"
"3210","c(-0.449259292559633, 0.997971133603563)"
"3211","c(-0.449259292559633, 0.997971133603563)"
"3212","c(-0.449259292559633, 0.997971133603563)"
"3213","c(-0.449259292559633, 0.997971133603563)"
"3214","c(-0.449259292559633, 0.997971133603563)"
"3215","c(-0.449259292559633, 0.997971133603563)"
"3216","c(-0.449259292559633, 0.997971133603563)"
"3217","c(-0.449259292559633, 0.997971133603563)"
"3218","c(-0.449259292559633, 0.997971133603563)"
"3219","c(-0.449259292559633, 0.997971133603563)"
"3220","c(-0.449259292559633, 0.997971133603563)"
"3221","c(-0.449259292559633, 0.997971133603563)"
"3222","c(-0.449259292559633, 0.997971133603563)"
"3223","c(-0.449259292559633, 0.997971133603563)"
"3224","c(-0.449259292559633, 0.997971133603563)"
"3225","c(-0.449259292559633, 0.997971133603563)"
"3226","c(-0.449259292559633, 0.997971133603563)"
"3227","c(-0.449259292559633, 0.997971133603563)"
"3228","c(-0.449259292559633, 0.997971133603563)"
"3229","c(-0.449259292559633, 0.997971133603563)"
"3230","c(-0.449259292559633, 0.997971133603563)"
"3231","c(-0.449259292559633, 0.997971133603563)"
"3232","c(-0.449259292559633, 0.997971133603563)"
"3233","c(-0.449259292559633, 0.997971133603563)"
"3234","c(-0.449259292559633, 0.997971133603563)"
"3235","c(-0.449259292559633, 0.997971133603563)"
"3236","c(-0.766063917379177, 0.998298609012416)"
"3237","c(-0.766063917379177, 0.998298609012416)"
"3238","c(-0.766063917379177, 0.998298609012416)"
"3239","c(-0.766063917379177, 0.998298609012416)"
"3240","c(-0.766063917379177, 0.998298609012416)"
"3241","c(-0.766063917379177, 0.998298609012416)"
"3242","c(-0.766063917379177, 0.998298609012416)"
"3243","c(-0.766063917379177, 0.998298609012416)"
"3244","c(-0.766063917379177, 0.998298609012416)"
"3245","c(-0.766063917379177, 0.998298609012416)"
"3246","c(-0.766063917379177, 0.998298609012416)"
"3247","c(-0.766063917379177, 0.998298609012416)"
"3248","c(-0.766063917379177, 0.998298609012416)"
"3249","c(-0.766063917379177, 0.998298609012416)"
"3250","c(-0.766063917379177, 0.998298609012416)"
"3251","c(-0.766063917379177, 0.998298609012416)"
"3252","c(-0.766063917379177, 0.998298609012416)"
"3253","c(-0.766063917379177, 0.998298609012416)"
"3254","c(-0.766063917379177, 0.998298609012416)"
"3255","c(-0.766063917379177, 0.998298609012416)"
"3256","c(-0.766063917379177, 0.998298609012416)"
"3257","c(-0.766063917379177, 0.998298609012416)"
"3258","c(-0.766063917379177, 0.998298609012416)"
"3259","c(-0.766063917379177, 0.998298609012416)"
"3260","c(-0.766063917379177, 0.998298609012416)"
"3261","c(-0.766063917379177, 0.998298609012416)"
"3262","c(-0.766063917379177, 0.998298609012416)"
"3263","c(-0.766063917379177, 0.998298609012416)"
"3264","c(-0.766063917379177, 0.998298609012416)"
"3265","c(-0.766063917379177, 0.998298609012416)"
"3266","c(-0.766063917379177, 0.998298609012416)"
"3267","c(-0.766063917379177, 0.998298609012416)"
"3268","c(-0.766063917379177, 0.998298609012416)"
"3269","c(-0.766063917379177, 0.998298609012416)"
"3270","c(-0.766063917379177, 0.998298609012416)"
"3271","c(-0.766063917379177, 0.998298609012416)"
"3272","c(-0.841608841532655, 0.992076626905381)"
"3273","c(-0.841608841532655, 0.992076626905381)"
"3274","c(-0.841608841532655, 0.992076626905381)"
"3275","c(-0.841608841532655, 0.992076626905381)"
"3276","c(-0.841608841532655, 0.992076626905381)"
"3277","c(-0.841608841532655, 0.992076626905381)"
"3278","c(-0.841608841532655, 0.992076626905381)"
"3279","c(-0.841608841532655, 0.992076626905381)"
"3280","c(-0.841608841532655, 0.992076626905381)"
"3281","c(-0.841608841532655, 0.992076626905381)"
"3282","c(-0.841608841532655, 0.992076626905381)"
"3283","c(-0.841608841532655, 0.992076626905381)"
"3284","c(-0.841608841532655, 0.992076626905381)"
"3285","c(-0.841608841532655, 0.992076626905381)"
"3286","c(-0.841608841532655, 0.992076626905381)"
"3287","c(-0.841608841532655, 0.992076626905381)"
"3288","c(-0.841608841532655, 0.992076626905381)"
"3289","c(-0.841608841532655, 0.992076626905381)"
"3290","c(-0.841608841532655, 0.992076626905381)"
"3291","c(-0.841608841532655, 0.992076626905381)"
"3292","c(-0.841608841532655, 0.992076626905381)"
"3293","c(-0.841608841532655, 0.992076626905381)"
"3294","c(-0.841608841532655, 0.992076626905381)"
"3295","c(-0.841608841532655, 0.992076626905381)"
"3296","c(-0.841608841532655, 0.992076626905381)"
"3297","c(-0.841608841532655, 0.992076626905381)"
"3298","c(-0.841608841532655, 0.992076626905381)"
"3299","c(-0.841608841532655, 0.992076626905381)"
"3300","c(-0.841608841532655, 0.992076626905381)"
"3301","c(-0.841608841532655, 0.992076626905381)"
"3302","c(-0.841608841532655, 0.992076626905381)"
"3303","c(-0.841608841532655, 0.992076626905381)"
"3304","c(-0.841608841532655, 0.992076626905381)"
"3305","c(-0.841608841532655, 0.992076626905381)"
"3306","c(-0.841608841532655, 0.992076626905381)"
"3307","c(-0.841608841532655, 0.992076626905381)"
"3308","c(-0.422462426186358, 0.997627908449292)"
"3309","c(-0.422462426186358, 0.997627908449292)"
"3310","c(-0.422462426186358, 0.997627908449292)"
"3311","c(-0.422462426186358, 0.997627908449292)"
"3312","c(-0.422462426186358, 0.997627908449292)"
"3313","c(-0.422462426186358, 0.997627908449292)"
"3314","c(-0.422462426186358, 0.997627908449292)"
"3315","c(-0.422462426186358, 0.997627908449292)"
"3316","c(-0.422462426186358, 0.997627908449292)"
"3317","c(-0.422462426186358, 0.997627908449292)"
"3318","c(-0.422462426186358, 0.997627908449292)"
"3319","c(-0.422462426186358, 0.997627908449292)"
"3320","c(-0.422462426186358, 0.997627908449292)"
"3321","c(-0.422462426186358, 0.997627908449292)"
"3322","c(-0.422462426186358, 0.997627908449292)"
"3323","c(-0.422462426186358, 0.997627908449292)"
"3324","c(-0.422462426186358, 0.997627908449292)"
"3325","c(-0.422462426186358, 0.997627908449292)"
"3326","c(-0.422462426186358, 0.997627908449292)"
"3327","c(-0.422462426186358, 0.997627908449292)"
"3328","c(-0.422462426186358, 0.997627908449292)"
"3329","c(-0.422462426186358, 0.997627908449292)"
"3330","c(-0.422462426186358, 0.997627908449292)"
"3331","c(-0.422462426186358, 0.997627908449292)"
"3332","c(-0.422462426186358, 0.997627908449292)"
"3333","c(-0.422462426186358, 0.997627908449292)"
"3334","c(-0.422462426186358, 0.997627908449292)"
"3335","c(-0.422462426186358, 0.997627908449292)"
"3336","c(-0.422462426186358, 0.997627908449292)"
"3337","c(-0.422462426186358, 0.997627908449292)"
"3338","c(-0.422462426186358, 0.997627908449292)"
"3339","c(-0.422462426186358, 0.997627908449292)"
"3340","c(-0.422462426186358, 0.997627908449292)"
"3341","c(-0.422462426186358, 0.997627908449292)"
"3342","c(-0.422462426186358, 0.997627908449292)"
"3343","c(-0.422462426186358, 0.997627908449292)"
"3344","c(-0.766063917379177, 0.998298609012416)"
"3345","c(-0.766063917379177, 0.998298609012416)"
"3346","c(-0.766063917379177, 0.998298609012416)"
"3347","c(-0.766063917379177, 0.998298609012416)"
"3348","c(-0.766063917379177, 0.998298609012416)"
"3349","c(-0.766063917379177, 0.998298609012416)"
"3350","c(-0.766063917379177, 0.998298609012416)"
"3351","c(-0.766063917379177, 0.998298609012416)"
"3352","c(-0.766063917379177, 0.998298609012416)"
"3353","c(-0.766063917379177, 0.998298609012416)"
"3354","c(-0.766063917379177, 0.998298609012416)"
"3355","c(-0.766063917379177, 0.998298609012416)"
"3356","c(-0.766063917379177, 0.998298609012416)"
"3357","c(-0.766063917379177, 0.998298609012416)"
"3358","c(-0.766063917379177, 0.998298609012416)"
"3359","c(-0.766063917379177, 0.998298609012416)"
"3360","c(-0.766063917379177, 0.998298609012416)"
"3361","c(-0.766063917379177, 0.998298609012416)"
"3362","c(-0.766063917379177, 0.998298609012416)"
"3363","c(-0.766063917379177, 0.998298609012416)"
"3364","c(-0.766063917379177, 0.998298609012416)"
"3365","c(-0.766063917379177, 0.998298609012416)"
"3366","c(-0.766063917379177, 0.998298609012416)"
"3367","c(-0.766063917379177, 0.998298609012416)"
"3368","c(-0.766063917379177, 0.998298609012416)"
"3369","c(-0.766063917379177, 0.998298609012416)"
"3370","c(-0.766063917379177, 0.998298609012416)"
"3371","c(-0.766063917379177, 0.998298609012416)"
"3372","c(-0.766063917379177, 0.998298609012416)"
"3373","c(-0.766063917379177, 0.998298609012416)"
"3374","c(-0.766063917379177, 0.998298609012416)"
"3375","c(-0.766063917379177, 0.998298609012416)"
"3376","c(-0.766063917379177, 0.998298609012416)"
"3377","c(-0.766063917379177, 0.998298609012416)"
"3378","c(-0.766063917379177, 0.998298609012416)"
"3379","c(-0.766063917379177, 0.998298609012416)"
"3380","c(-0.841608841532655, 0.992076626905381)"
"3381","c(-0.841608841532655, 0.992076626905381)"
"3382","c(-0.841608841532655, 0.992076626905381)"
"3383","c(-0.841608841532655, 0.992076626905381)"
"3384","c(-0.841608841532655, 0.992076626905381)"
"3385","c(-0.841608841532655, 0.992076626905381)"
"3386","c(-0.841608841532655, 0.992076626905381)"
"3387","c(-0.841608841532655, 0.992076626905381)"
"3388","c(-0.841608841532655, 0.992076626905381)"
"3389","c(-0.841608841532655, 0.992076626905381)"
"3390","c(-0.841608841532655, 0.992076626905381)"
"3391","c(-0.841608841532655, 0.992076626905381)"
"3392","c(-0.841608841532655, 0.992076626905381)"
"3393","c(-0.841608841532655, 0.992076626905381)"
"3394","c(-0.841608841532655, 0.992076626905381)"
"3395","c(-0.841608841532655, 0.992076626905381)"
"3396","c(-0.841608841532655, 0.992076626905381)"
"3397","c(-0.841608841532655, 0.992076626905381)"
"3398","c(-0.841608841532655, 0.992076626905381)"
"3399","c(-0.841608841532655, 0.992076626905381)"
"3400","c(-0.841608841532655, 0.992076626905381)"
"3401","c(-0.841608841532655, 0.992076626905381)"
"3402","c(-0.841608841532655, 0.992076626905381)"
"3403","c(-0.841608841532655, 0.992076626905381)"
"3404","c(-0.841608841532655, 0.992076626905381)"
"3405","c(-0.841608841532655, 0.992076626905381)"
"3406","c(-0.841608841532655, 0.992076626905381)"
"3407","c(-0.841608841532655, 0.992076626905381)"
"3408","c(-0.841608841532655, 0.992076626905381)"
"3409","c(-0.841608841532655, 0.992076626905381)"
"3410","c(-0.841608841532655, 0.992076626905381)"
"3411","c(-0.841608841532655, 0.992076626905381)"
"3412","c(-0.841608841532655, 0.992076626905381)"
"3413","c(-0.841608841532655, 0.992076626905381)"
"3414","c(-0.841608841532655, 0.992076626905381)"
"3415","c(-0.841608841532655, 0.992076626905381)"
"3416","c(-0.422462426186358, 0.997627908449292)"
"3417","c(-0.422462426186358, 0.997627908449292)"
"3418","c(-0.422462426186358, 0.997627908449292)"
"3419","c(-0.422462426186358, 0.997627908449292)"
"3420","c(-0.422462426186358, 0.997627908449292)"
"3421","c(-0.422462426186358, 0.997627908449292)"
"3422","c(-0.422462426186358, 0.997627908449292)"
"3423","c(-0.422462426186358, 0.997627908449292)"
"3424","c(-0.422462426186358, 0.997627908449292)"
"3425","c(-0.422462426186358, 0.997627908449292)"
"3426","c(-0.422462426186358, 0.997627908449292)"
"3427","c(-0.422462426186358, 0.997627908449292)"
"3428","c(-0.422462426186358, 0.997627908449292)"
"3429","c(-0.422462426186358, 0.997627908449292)"
"3430","c(-0.422462426186358, 0.997627908449292)"
"3431","c(-0.422462426186358, 0.997627908449292)"
"3432","c(-0.422462426186358, 0.997627908449292)"
"3433","c(-0.422462426186358, 0.997627908449292)"
"3434","c(-0.422462426186358, 0.997627908449292)"
"3435","c(-0.422462426186358, 0.997627908449292)"
"3436","c(-0.422462426186358, 0.997627908449292)"
"3437","c(-0.422462426186358, 0.997627908449292)"
"3438","c(-0.422462426186358, 0.997627908449292)"
"3439","c(-0.422462426186358, 0.997627908449292)"
"3440","c(-0.422462426186358, 0.997627908449292)"
"3441","c(-0.422462426186358, 0.997627908449292)"
"3442","c(-0.422462426186358, 0.997627908449292)"
"3443","c(-0.422462426186358, 0.997627908449292)"
"3444","c(-0.422462426186358, 0.997627908449292)"
"3445","c(-0.422462426186358, 0.997627908449292)"
"3446","c(-0.422462426186358, 0.997627908449292)"
"3447","c(-0.422462426186358, 0.997627908449292)"
"3448","c(-0.422462426186358, 0.997627908449292)"
"3449","c(-0.422462426186358, 0.997627908449292)"
"3450","c(-0.422462426186358, 0.997627908449292)"
"3451","c(-0.422462426186358, 0.997627908449292)"
"3452","c(-0.766063917379177, 0.998298609012416)"
"3453","c(-0.766063917379177, 0.998298609012416)"
"3454","c(-0.766063917379177, 0.998298609012416)"
"3455","c(-0.766063917379177, 0.998298609012416)"
"3456","c(-0.766063917379177, 0.998298609012416)"
"3457","c(-0.766063917379177, 0.998298609012416)"
"3458","c(-0.766063917379177, 0.998298609012416)"
"3459","c(-0.766063917379177, 0.998298609012416)"
"3460","c(-0.766063917379177, 0.998298609012416)"
"3461","c(-0.766063917379177, 0.998298609012416)"
"3462","c(-0.766063917379177, 0.998298609012416)"
"3463","c(-0.766063917379177, 0.998298609012416)"
"3464","c(-0.766063917379177, 0.998298609012416)"
"3465","c(-0.766063917379177, 0.998298609012416)"
"3466","c(-0.766063917379177, 0.998298609012416)"
"3467","c(-0.766063917379177, 0.998298609012416)"
"3468","c(-0.766063917379177, 0.998298609012416)"
"3469","c(-0.766063917379177, 0.998298609012416)"
"3470","c(-0.766063917379177, 0.998298609012416)"
"3471","c(-0.766063917379177, 0.998298609012416)"
"3472","c(-0.766063917379177, 0.998298609012416)"
"3473","c(-0.766063917379177, 0.998298609012416)"
"3474","c(-0.766063917379177, 0.998298609012416)"
"3475","c(-0.766063917379177, 0.998298609012416)"
"3476","c(-0.766063917379177, 0.998298609012416)"
"3477","c(-0.766063917379177, 0.998298609012416)"
"3478","c(-0.766063917379177, 0.998298609012416)"
"3479","c(-0.766063917379177, 0.998298609012416)"
"3480","c(-0.766063917379177, 0.998298609012416)"
"3481","c(-0.766063917379177, 0.998298609012416)"
"3482","c(-0.766063917379177, 0.998298609012416)"
"3483","c(-0.766063917379177, 0.998298609012416)"
"3484","c(-0.766063917379177, 0.998298609012416)"
"3485","c(-0.766063917379177, 0.998298609012416)"
"3486","c(-0.766063917379177, 0.998298609012416)"
"3487","c(-0.766063917379177, 0.998298609012416)"
"3488","c(-0.841608841532655, 0.992076626905381)"
"3489","c(-0.841608841532655, 0.992076626905381)"
"3490","c(-0.841608841532655, 0.992076626905381)"
"3491","c(-0.841608841532655, 0.992076626905381)"
"3492","c(-0.841608841532655, 0.992076626905381)"
"3493","c(-0.841608841532655, 0.992076626905381)"
"3494","c(-0.841608841532655, 0.992076626905381)"
"3495","c(-0.841608841532655, 0.992076626905381)"
"3496","c(-0.841608841532655, 0.992076626905381)"
"3497","c(-0.841608841532655, 0.992076626905381)"
"3498","c(-0.841608841532655, 0.992076626905381)"
"3499","c(-0.841608841532655, 0.992076626905381)"
"3500","c(-0.841608841532655, 0.992076626905381)"
"3501","c(-0.841608841532655, 0.992076626905381)"
"3502","c(-0.841608841532655, 0.992076626905381)"
"3503","c(-0.841608841532655, 0.992076626905381)"
"3504","c(-0.841608841532655, 0.992076626905381)"
"3505","c(-0.841608841532655, 0.992076626905381)"
"3506","c(-0.841608841532655, 0.992076626905381)"
"3507","c(-0.841608841532655, 0.992076626905381)"
"3508","c(-0.841608841532655, 0.992076626905381)"
"3509","c(-0.841608841532655, 0.992076626905381)"
"3510","c(-0.841608841532655, 0.992076626905381)"
"3511","c(-0.841608841532655, 0.992076626905381)"
"3512","c(-0.841608841532655, 0.992076626905381)"
"3513","c(-0.841608841532655, 0.992076626905381)"
"3514","c(-0.841608841532655, 0.992076626905381)"
"3515","c(-0.841608841532655, 0.992076626905381)"
"3516","c(-0.841608841532655, 0.992076626905381)"
"3517","c(-0.841608841532655, 0.992076626905381)"
"3518","c(-0.841608841532655, 0.992076626905381)"
"3519","c(-0.841608841532655, 0.992076626905381)"
"3520","c(-0.841608841532655, 0.992076626905381)"
"3521","c(-0.841608841532655, 0.992076626905381)"
"3522","c(-0.841608841532655, 0.992076626905381)"
"3523","c(-0.841608841532655, 0.992076626905381)"
"3524","c(-0.422462426186358, 0.997627908449292)"
"3525","c(-0.422462426186358, 0.997627908449292)"
"3526","c(-0.422462426186358, 0.997627908449292)"
"3527","c(-0.422462426186358, 0.997627908449292)"
"3528","c(-0.422462426186358, 0.997627908449292)"
"3529","c(-0.422462426186358, 0.997627908449292)"
"3530","c(-0.422462426186358, 0.997627908449292)"
"3531","c(-0.422462426186358, 0.997627908449292)"
"3532","c(-0.422462426186358, 0.997627908449292)"
"3533","c(-0.422462426186358, 0.997627908449292)"
"3534","c(-0.422462426186358, 0.997627908449292)"
"3535","c(-0.422462426186358, 0.997627908449292)"
"3536","c(-0.422462426186358, 0.997627908449292)"
"3537","c(-0.422462426186358, 0.997627908449292)"
"3538","c(-0.422462426186358, 0.997627908449292)"
"3539","c(-0.422462426186358, 0.997627908449292)"
"3540","c(-0.422462426186358, 0.997627908449292)"
"3541","c(-0.422462426186358, 0.997627908449292)"
"3542","c(-0.422462426186358, 0.997627908449292)"
"3543","c(-0.422462426186358, 0.997627908449292)"
"3544","c(-0.422462426186358, 0.997627908449292)"
"3545","c(-0.422462426186358, 0.997627908449292)"
"3546","c(-0.422462426186358, 0.997627908449292)"
"3547","c(-0.422462426186358, 0.997627908449292)"
"3548","c(-0.422462426186358, 0.997627908449292)"
"3549","c(-0.422462426186358, 0.997627908449292)"
"3550","c(-0.422462426186358, 0.997627908449292)"
"3551","c(-0.422462426186358, 0.997627908449292)"
"3552","c(-0.422462426186358, 0.997627908449292)"
"3553","c(-0.422462426186358, 0.997627908449292)"
"3554","c(-0.422462426186358, 0.997627908449292)"
"3555","c(-0.422462426186358, 0.997627908449292)"
"3556","c(-0.422462426186358, 0.997627908449292)"
"3557","c(-0.422462426186358, 0.997627908449292)"
"3558","c(-0.422462426186358, 0.997627908449292)"
"3559","c(-0.422462426186358, 0.997627908449292)"
"3560","c(-0.766063917379177, 0.998298609012416)"
"3561","c(-0.766063917379177, 0.998298609012416)"
"3562","c(-0.766063917379177, 0.998298609012416)"
"3563","c(-0.766063917379177, 0.998298609012416)"
"3564","c(-0.766063917379177, 0.998298609012416)"
"3565","c(-0.766063917379177, 0.998298609012416)"
"3566","c(-0.766063917379177, 0.998298609012416)"
"3567","c(-0.766063917379177, 0.998298609012416)"
"3568","c(-0.766063917379177, 0.998298609012416)"
"3569","c(-0.766063917379177, 0.998298609012416)"
"3570","c(-0.766063917379177, 0.998298609012416)"
"3571","c(-0.766063917379177, 0.998298609012416)"
"3572","c(-0.766063917379177, 0.998298609012416)"
"3573","c(-0.766063917379177, 0.998298609012416)"
"3574","c(-0.766063917379177, 0.998298609012416)"
"3575","c(-0.766063917379177, 0.998298609012416)"
"3576","c(-0.766063917379177, 0.998298609012416)"
"3577","c(-0.766063917379177, 0.998298609012416)"
"3578","c(-0.766063917379177, 0.998298609012416)"
"3579","c(-0.766063917379177, 0.998298609012416)"
"3580","c(-0.766063917379177, 0.998298609012416)"
"3581","c(-0.766063917379177, 0.998298609012416)"
"3582","c(-0.766063917379177, 0.998298609012416)"
"3583","c(-0.766063917379177, 0.998298609012416)"
"3584","c(-0.766063917379177, 0.998298609012416)"
"3585","c(-0.766063917379177, 0.998298609012416)"
"3586","c(-0.766063917379177, 0.998298609012416)"
"3587","c(-0.766063917379177, 0.998298609012416)"
"3588","c(-0.766063917379177, 0.998298609012416)"
"3589","c(-0.766063917379177, 0.998298609012416)"
"3590","c(-0.766063917379177, 0.998298609012416)"
"3591","c(-0.766063917379177, 0.998298609012416)"
"3592","c(-0.766063917379177, 0.998298609012416)"
"3593","c(-0.766063917379177, 0.998298609012416)"
"3594","c(-0.766063917379177, 0.998298609012416)"
"3595","c(-0.766063917379177, 0.998298609012416)"
"3596","c(-0.841608841532655, 0.992076626905381)"
"3597","c(-0.841608841532655, 0.992076626905381)"
"3598","c(-0.841608841532655, 0.992076626905381)"
"3599","c(-0.841608841532655, 0.992076626905381)"
"3600","c(-0.841608841532655, 0.992076626905381)"
"3601","c(-0.841608841532655, 0.992076626905381)"
"3602","c(-0.841608841532655, 0.992076626905381)"
"3603","c(-0.841608841532655, 0.992076626905381)"
"3604","c(-0.841608841532655, 0.992076626905381)"
"3605","c(-0.841608841532655, 0.992076626905381)"
"3606","c(-0.841608841532655, 0.992076626905381)"
"3607","c(-0.841608841532655, 0.992076626905381)"
"3608","c(-0.841608841532655, 0.992076626905381)"
"3609","c(-0.841608841532655, 0.992076626905381)"
"3610","c(-0.841608841532655, 0.992076626905381)"
"3611","c(-0.841608841532655, 0.992076626905381)"
"3612","c(-0.841608841532655, 0.992076626905381)"
"3613","c(-0.841608841532655, 0.992076626905381)"
"3614","c(-0.841608841532655, 0.992076626905381)"
"3615","c(-0.841608841532655, 0.992076626905381)"
"3616","c(-0.841608841532655, 0.992076626905381)"
"3617","c(-0.841608841532655, 0.992076626905381)"
"3618","c(-0.841608841532655, 0.992076626905381)"
"3619","c(-0.841608841532655, 0.992076626905381)"
"3620","c(-0.841608841532655, 0.992076626905381)"
"3621","c(-0.841608841532655, 0.992076626905381)"
"3622","c(-0.841608841532655, 0.992076626905381)"
"3623","c(-0.841608841532655, 0.992076626905381)"
"3624","c(-0.841608841532655, 0.992076626905381)"
"3625","c(-0.841608841532655, 0.992076626905381)"
"3626","c(-0.841608841532655, 0.992076626905381)"
"3627","c(-0.841608841532655, 0.992076626905381)"
"3628","c(-0.841608841532655, 0.992076626905381)"
"3629","c(-0.841608841532655, 0.992076626905381)"
